case_name,CASE_04
case_title,The Frame with HyperScape100 (integrated 1100 Wh EPS)
platform_id,PLT-033
payload_id,PAY-003
battery_id,Integrated
solar_array_id,Integrated
feasibility_status,Feasible
mission_feasibility_status,Success
failed_checks,None
missing_parameters,payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.mass_per_module_kg; battery.total_mass_kg; battery.max_charge_power_w; solar_array.mass_per_unit_kg; solar_array.total_mass_kg
total_dry_mass_kg,113.06
initial_wet_mass_kg,128.06
final_spacecraft_mass_kg,124.24411459245664
propellant_consumed_kg,3.815885407512303
remaining_propellant_kg,11.184114592485592
total_thruster_operating_time_s,14220000.0
total_thruster_cycles,27
simulated_thruster_duty_cycle_pct,11.272509346194457
minimum_altitude_km,318.6147174907056
maximum_altitude_km,407.21869959762773
mean_altitude_km,350.2545266867521
minimum_battery_soc,0.8126555023923445
termination_reason,End of Simulation
