case_name,CASE_01
case_title,16U CubeSat with HyperScape100
platform_id,PLT-007
payload_id,PAY-003
battery_id,BAT-017
solar_array_id,SOL-015
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,Battery SoC dropped below min limit (70.0%) during cycle execution
missing_parameters,platform.peak_payload_power_w; platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.pointing_accuracy_deg; payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.mass_per_module_kg; battery.total_mass_kg; battery.voltage_v; battery.max_discharge_power_w; battery.max_continuous_power_w; battery.max_charge_power_w
total_dry_mass_kg,18.245
initial_wet_mass_kg,23.245
final_spacecraft_mass_kg,23.242101859184167
propellant_consumed_kg,0.0028981408158320066
remaining_propellant_kg,4.997101859184169
total_thruster_operating_time_s,10800.0
total_thruster_cycles,3
simulated_thruster_duty_cycle_pct,17.525773195876287
minimum_altitude_km,104.82988596452367
maximum_altitude_km,272.3762188440164
mean_altitude_km,236.84220103657537
minimum_battery_soc,0.0
termination_reason,Simulation Exception
