case_name,CASE_05
case_title,The Frame with MultiScape200 (integrated 1100 Wh EPS)
platform_id,PLT-033
payload_id,PAY-005
battery_id,Integrated
solar_array_id,Integrated
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.mass_per_module_kg; battery.total_mass_kg; battery.max_charge_power_w; solar_array.mass_per_unit_kg; solar_array.total_mass_kg
total_dry_mass_kg,124.11
initial_wet_mass_kg,144.11
final_spacecraft_mass_kg,141.85234830448448
propellant_consumed_kg,2.2576516955331587
remaining_propellant_kg,17.742348304466837
total_thruster_operating_time_s,4428000.0
total_thruster_cycles,62
simulated_thruster_duty_cycle_pct,44.15003441156228
minimum_altitude_km,119.46249859684441
maximum_altitude_km,271.63928011839016
mean_altitude_km,230.76232694319955
minimum_battery_soc,0.30169473684210535
termination_reason,Simulation Exception
